time,open,high,low,close,PM High,PM Low,Yest High,Yest Low,Week High,Week Low,ORB High,ORB Low,POC_,PM High (continuous),PM Low (continuous),MA,MA,Volume
2026-02-25T15:24:00-05:00,651.56,651.74,651.27,651.27,,,,,,,,,650.4000000000003,643,638.7,652.1367000000071,650.7247250000098,8299
2026-02-25T15:25:00-05:00,651.32,651.94,651.32,651.77,,,,,,,,,650.4000000000003,643,638.7,652.139500000007,650.7282250000098,1880
2026-02-25T15:26:00-05:00,651.83,651.83,651.51,651.59,,,,,,,,,650.4000000000003,643,638.7,652.1425000000071,650.7303750000098,1840
2026-02-25T15:27:00-05:00,651.625,651.68,651.59,651.67,,,,,,,,,650.4000000000003,643,638.7,652.1405000000071,650.7342750000098,3915
2026-02-25T15:28:00-05:00,651.7,651.77,651.62,651.68,,,,,,,,,650.4000000000003,643,638.7,652.135900000007,650.7382750000098,813
2026-02-25T15:29:00-05:00,651.72,651.76,651.27,651.27,,,,,,,,,650.4000000000003,643,638.7,652.1289000000071,650.7401250000098,1005
2026-02-25T15:30:00-05:00,651.21,651.36,651.07,651.23,,,,,,,,,650.4000000000003,643,638.7,652.111900000007,650.7401750000098,4605
2026-02-25T15:31:00-05:00,651.215,651.27,650.89,650.89,,,,,,,,,650.4000000000003,643,638.7,652.093500000007,650.7355750000098,3311
2026-02-25T15:32:00-05:00,650.96,651.1,650.95,651.05,,,,,,,,,650.4000000000003,643,638.7,652.0745000000071,650.7289750000098,4886
2026-02-25T15:33:00-05:00,651.08,651.33,650.98,651.1,,,,,,,,,650.4000000000003,643,638.7,652.0619000000071,650.7226250000098,4252
2026-02-25T15:34:00-05:00,651.22,651.33,651.05,651.27,,,,,,,,,650.4000000000003,643,638.7,652.0623000000071,650.7182750000098,2235
2026-02-25T15:35:00-05:00,651.33,651.33,651,651.29,,,,,,,,,650.4000000000003,643,638.7,652.0617000000071,650.7137250000098,5822
2026-02-25T15:36:00-05:00,651.25,651.365,651.16,651.31,,,,,,,,,650.4000000000003,643,638.7,652.0559000000071,650.7114000000097,1583
2026-02-25T15:37:00-05:00,651.29,651.46,651.2,651.37,,,,,,,,,650.4000000000003,643,638.7,652.0493000000072,650.7090000000097,2415
2026-02-25T15:38:00-05:00,651.37,651.59,651.33,651.48,,,,,,,,,651.6000000000004,643,638.7,652.0425000000072,650.7078500000098,3931
2026-02-25T15:39:00-05:00,651.51,651.77,651.46,651.67,,,,,,,,,651.6000000000004,643,638.7,652.0417000000072,650.7078500000098,6721
2026-02-25T15:40:00-05:00,651.68,651.68,651.31,651.31,,,,,,,,,651.6000000000004,643,638.7,652.0296000000071,650.7062500000098,3618
2026-02-25T15:41:00-05:00,651.24,651.51,651.24,651.51,,,,,,,,,651.6000000000004,643,638.7,652.0226000000071,650.7053000000099,2598
2026-02-25T15:42:00-05:00,651.485,651.5,651.31,651.4,,,,,,,,,651.6000000000004,643,638.7,652.0160000000071,650.7028500000098,2096
2026-02-25T15:43:00-05:00,651.44,651.48,651.29,651.47,,,,,,,,,651.6000000000004,643,638.7,652.0014000000072,650.7014500000098,3330
2026-02-25T15:44:00-05:00,651.47,651.75,651.37,651.675,,,,,,,,,651.6000000000004,643,638.7,651.9865000000071,650.6988250000098,3619
2026-02-25T15:45:00-05:00,651.66,651.74,651.59,651.64,,,,,,,,,651.6000000000004,643,638.7,651.9745000000072,650.6959250000098,2686
2026-02-25T15:46:00-05:00,651.65,651.87,651.65,651.78,,,,,,,,,651.6000000000004,643,638.7,651.9649000000071,650.6943750000098,2555
